location,total_deaths,date,day,month,year
Africa,,13/02/2020,13,2,2020
Africa,,14/02/2020,14,2,2020
Africa,,15/02/2020,15,2,2020
Africa,,16/02/2020,16,2,2020
Africa,,17/02/2020,17,2,2020
Africa,,18/02/2020,18,2,2020
Africa,,19/02/2020,19,2,2020
Africa,,20/02/2020,20,2,2020
Africa,,21/02/2020,21,2,2020
Africa,,22/02/2020,22,2,2020
Africa,,23/02/2020,23,2,2020
Africa,,24/02/2020,24,2,2020
Africa,,25/02/2020,25,2,2020
Africa,,26/02/2020,26,2,2020
Africa,,27/02/2020,27,2,2020
Africa,,28/02/2020,28,2,2020
Africa,,29/02/2020,29,2,2020
Africa,,01/03/2020,1,3,2020
Africa,,02/03/2020,2,3,2020
Africa,,03/03/2020,3,3,2020
Africa,,04/03/2020,4,3,2020
Africa,,05/03/2020,5,3,2020
Africa,,06/03/2020,6,3,2020
Africa,,07/03/2020,7,3,2020
Africa,10,08/03/2020,8,3,2020
Africa,10,09/03/2020,9,3,2020
Africa,20,10/03/2020,10,3,2020
Africa,20,11/03/2020,11,3,2020
Africa,30,12/03/2020,12,3,2020
Africa,60,13/03/2020,13,3,2020
Africa,70,14/03/2020,14,3,2020
Africa,80,15/03/2020,15,3,2020
Africa,80,16/03/2020,16,3,2020
Africa,110,17/03/2020,17,3,2020
Africa,170,18/03/2020,18,3,2020
Africa,200,19/03/2020,19,3,2020
Africa,260,20/03/2020,20,3,2020
Africa,350,21/03/2020,21,3,2020
Africa,460,22/03/2020,22,3,2020
Africa,550,23/03/2020,23,3,2020
Africa,620,24/03/2020,24,3,2020
Africa,730,25/03/2020,25,3,2020
Africa,910,26/03/2020,26,3,2020
Africa,1150,27/03/2020,27,3,2020
Africa,1340,28/03/2020,28,3,2020
Africa,1510,29/03/2020,29,3,2020
Africa,1720,30/03/2020,30,3,2020
Africa,1980,31/03/2020,31,3,2020
Africa,2330,01/04/2020,1,4,2020
Africa,2850,02/04/2020,2,4,2020
Africa,3310,03/04/2020,3,4,2020
Africa,3820,04/04/2020,4,4,2020
Africa,4420,05/04/2020,5,4,2020
Africa,4870,06/04/2020,6,4,2020
Africa,5330,07/04/2020,7,4,2020
Africa,5730,08/04/2020,8,4,2020
Africa,6270,09/04/2020,9,4,2020
Africa,6900,10/04/2020,10,4,2020
