year,richter,region,deaths,lon,lat
1,5,Afghanistan,63230.0,69.11,34.28
2,5,Afghanistan,50150.0,69.11,34.28
3,5,Afghanistan,35210.0,69.11,34.28
4,5,Afghanistan,23080.0,69.11,34.28
5,5,Afghanistan,25580.0,69.11,34.28
6,5,Afghanistan,33850.0,69.11,34.28
7,5,Afghanistan,49120.0,69.11,34.28
8,5,Afghanistan,67270.0,69.11,34.28
9,5,Afghanistan,49990.0,69.11,34.28
10,5,Afghanistan,43750.0,69.11,34.28
11,5,Afghanistan,33440.0,69.11,34.28
12,5,Afghanistan,20140.0,69.11,34.28
1,6,Albania,355970.0,19.49,41.18
2,5,Albania,97620.0,19.49,41.18
3,5,Albania,29490.0,19.49,41.18
4,5,Albania,52050.0,19.49,41.18
5,5,Albania,17120.0,19.49,41.18
6,5,Albania,92040.0,19.49,41.18
7,6,Albania,265530.0,19.49,41.18
8,6,Albania,109730.0,19.49,41.18
9,5,Albania,90110.0,19.49,41.18
10,5,Albania,42200.0,19.49,41.18
11,5,Albania,35180.0,19.49,41.18
12,5,Albania,48780.0,19.49,41.18
1,6,Algeria,303620.0,3.08,36.42
2,5,Algeria,56670.0,3.08,36.42
3,5,Algeria,18090.0,3.08,36.42
4,5,Algeria,17090.0,3.08,36.42
5,5,Algeria,15520.0,3.08,36.42
6,5,Algeria,11550.0,3.08,36.42
7,5,Algeria,23500.0,3.08,36.42
8,5,Algeria,26790.0,3.08,36.42
9,5,Algeria,13450.0,3.08,36.42
10,5,Algeria,12990.0,3.08,36.42
11,5,Algeria,14480.0,3.08,36.42
12,5,Algeria,14210.0,3.08,36.42
1,5,Andorra,76280.0,1.32,42.31
2,5,Andorra,13530.0,1.32,42.31
3,5,Andorra,26980.0,1.32,42.31
4,5,Andorra,19100.0,1.32,42.31
5,5,Andorra,12250.0,1.32,42.31
6,5,Andorra,10920.0,1.32,42.31
7,5,Andorra,29680.0,1.32,42.31
8,4,Andorra,3750.0,1.32,42.31
9,4,Andorra,4550.0,1.32,42.31
10,5,Andorra,19350.0,1.32,42.31
11,5,Andorra,11800.0,1.32,42.31
12,5,Andorra,11920.0,1.32,42.31
1,5,Angola,71540.0,13.15,-8.5
2,4,Angola,7900.0,13.15,-8.5
3,5,Angola,11560.0,13.15,-8.5
4,5,Angola,10660.0,13.15,-8.5
5,5,Angola,28640.0,13.15,-8.5
6,5,Angola,25710.0,13.15,-8.5
7,5,Angola,22340.0,13.15,-8.5
8,4,Angola,5140.0,13.15,-8.5
9,5,Angola,10170.0,13.15,-8.5
10,4,Angola,6190.0,13.15,-8.5
11,5,Angola,24040.0,13.15,-8.5
12,5,Angola,11130.0,13.15,-8.5
1,5,Antigua and Barbuda,14400.0,-61.48,17.2
2,4,Antigua and Barbuda,2640.0,-61.48,17.2
3,3,Antigua and Barbuda,250.0,-61.48,17.2
4,4,Antigua and Barbuda,4170.0,-61.48,17.2
5,4,Antigua and Barbuda,5470.0,-61.48,17.2
6,4,Antigua and Barbuda,5020.0,-61.48,17.2
7,4,Antigua and Barbuda,1320.0,-61.48,17.2
8,4,Antigua and Barbuda,3100.0,-61.48,17.2
9,4,Antigua and Barbuda,3720.0,-61.48,17.2
10,4,Antigua and Barbuda,5410.0,-61.48,17.2
11,3,Antigua and Barbuda,730.0,-61.48,17.2
12,4,Antigua and Barbuda,2000.0,-61.48,17.2
1,8,Argentina,17999710.0,-60.0,-36.3
2,7,Argentina,2498440.0,-60.0,-36.3
3,7,Argentina,1914050.0,-60.0,-36.3
4,7,Argentina,1719120.0,-60.0,-36.3
5,7,Argentina,2989520.0,-60.0,-36.3
6,7,Argentina,2185390.0,-60.0,-36.3
7,7,Argentina,3204300.0,-60.0,-36.3
8,7,Argentina,2362830.0,-60.0,-36.3
