,Unnamed: 0,year,month,day,richter,area,region,deaths,lon,lat
0,1,1902,April,19,7.5,Quezaltenango and San Marco,Guatemala,2000.0,-91.807459,14.960978
1,2,1902,December,16,6.4,Uzbekistan,Russia,4700.0,64.5735819,41.381166
2,3,1903,April,28,7.0,Malazgirt,Turkey,3500.0,42.54096,39.146145
3,4,1903,May,28,5.8,Gole,Turkey,1000.0,28.97953,41.015137
4,5,1905,April,4,7.5,Kangra,India,19000.0,76.269104,32.099804
5,6,1906,January,31,8.8,Esmeraldas (off coast),Ecuador,1000.0,-79.65397,0.9592
6,7,1906,March,16,6.8,Chia-i,Taiwan,1250.0,120.449111,23.480075
7,8,1906,April,18,7.7,San Francisco,United States,3000.0,-122.431297,37.773972
8,9,1906,August,17,8.6,Valparaiso,Chile,3882.0,-71.612686,-33.047237
9,10,1907,October,21,8.1,Central,Asia,12000.0,68.831901,45.450688
10,11,1908,December,28,7.2,Messina,Italy,72000.0,15.55,38.183334
11,12,1909,January,23,7.3,Silakhor,Iran,5000.0,51.531715,32.707577
12,13,1912,August,9,7.4,Murefte,Turkey,2800.0,27.246389,40.668056
13,14,1914,October,3,7.0,Burdur,Turkey,4000.0,30.282333,37.718336
14,15,1915,January,13,7.0,Avezzano,Italy,32610.0,13.425564,42.02814
15,16,1917,July,30,7.5,Yunnan,China,1800.0,102.706108,25.043333
16,17,1918,February,13,7.4,Guangdong,China,1000.0,113.25325,23.128994
17,18,1920,December,16,7.8,Gansu,China,200000.0,103.828812,36.054871
18,19,1923,March,24,7.3,Sichuan,China,3500.0,102.843018,31.456781
19,20,1923,March,25,5.7,Torbat-e Heydariyeh,Iran,2200.0,59.21949,35.27401
20,21,1923,September,1,7.9,Yokohama,Japan,142800.0,139.638031,35.443707
21,22,1925,March,16,7.0,Yunnan,China,5800.0,102.706108,25.043333
22,23,1927,March,7,7.6,Tango,Japan,3020.0,138.266418,36.255486
23,24,1927,May,22,7.6,Gansu,China,40900.0,103.828812,36.054871
24,25,1929,May,1,7.2,Koppeh Dagh,Iran,3800.0,-88.014426,30.681803
25,26,1930,May,6,7.2,Salmas,Iran,2500.0,44.765278,38.197222
26,27,1930,July,23,6.5,Irpinia,Italy,1404.0,15.0,41.0
27,28,1931,March,31,6.0,Managua,Nicaragua,2500.0,-86.251389,12.136389
28,29,1931,April,27,5.7,Border,Armenia-Azerbaijan,2800.0,45.0382,40.0691
29,30,1931,August,10,8.0,Xinjiang,China,10000.0,86.154785,44.402393
30,31,1933,March,2,8.4,Sanriku,Japan,2990.0,138.72905,35.360638
31,32,1933,March,10,6.2,Long Beach,United States,115.0,-118.193741,33.77005
32,33,1933,August,25,7.5,Sichuan,China,9300.0,102.843018,31.456781
33,34,1934,January,15,8.1,Bihar,India-Nepal,10700.0,85.160126,26.658148
34,35,1935,April,21,7.1,Miao-Li,Taiwan,3270.0,121.597366,25.105497
35,36,1935,May,30,7.6,Quetta,Pakistan,30000.0,66.996452,30.18327
36,37,1939,January,25,7.8,Chillan,Chile,28000.0,-72.102335,-36.606262
37,38,1939,December,26,7.8,Erzincan,Turkey,32700.0,39.491124,39.746797
38,39,1940,November,10,7.3,Vrancea,Romania,1000.0,26.939887,45.766468
39,40,1942,December,20,7.3,Erbaa,Turkey,1100.0,36.571247,40.672726
40,41,1943,September,10,7.4,Tottori,Japan,1190.0,134.235091,35.501133
41,42,1943,November,26,7.6,Ladik,Turkey,4000.0,35.894825,40.912047
