,Unnamed: 0,location,capital,lat,lon,year,month,new_cases,date,richter
0,0,Afghanistan,Kabul,34.28,69.11,2020,1,0,1/1/2020,5
1,1,Afghanistan,Kabul,34.28,69.11,2020,2,0,2/1/2020,5
2,2,Afghanistan,Kabul,34.28,69.11,2020,3,0,3/1/2020,5
3,3,Afghanistan,Kabul,34.28,69.11,2020,4,0,4/1/2020,5
4,4,Afghanistan,Kabul,34.28,69.11,2020,5,0,5/1/2020,6
5,5,Afghanistan,Kabul,34.28,69.11,2020,6,0,6/1/2020,5
6,6,Afghanistan,Kabul,34.28,69.11,2020,7,0,7/1/2020,5
7,7,Afghanistan,Kabul,34.28,69.11,2020,8,0,8/1/2020,5
8,8,Afghanistan,Kabul,34.28,69.11,2020,9,0,9/1/2020,5
9,9,Afghanistan,Kabul,34.28,69.11,2020,10,0,10/1/2020,5
10,10,Afghanistan,Kabul,34.28,69.11,2020,11,0,11/1/2020,5
11,11,Afghanistan,Kabul,34.28,69.11,2020,12,0,12/1/2020,5
12,12,Afghanistan,Kabul,34.28,69.11,2021,1,0,1/1/2021,5
13,13,Afghanistan,Kabul,34.28,69.11,2021,2,0,2/1/2021,5
14,14,Afghanistan,Kabul,34.28,69.11,2021,3,0,3/1/2021,5
15,15,Afghanistan,Kabul,34.28,69.11,2021,4,0,4/1/2021,5
16,16,Afghanistan,Kabul,34.28,69.11,2021,5,0,5/1/2021,6
17,17,Afghanistan,Kabul,34.28,69.11,2021,6,0,6/1/2021,6
18,18,Afghanistan,Kabul,34.28,69.11,2021,7,0,7/1/2021,6
19,19,Afghanistan,Kabul,34.28,69.11,2021,8,0,8/1/2021,5
20,20,Afghanistan,Kabul,34.28,69.11,2021,9,0,9/1/2021,5
21,21,Afghanistan,Kabul,34.28,69.11,2021,10,0,10/1/2021,5
22,22,Afghanistan,Kabul,34.28,69.11,2021,11,0,11/1/2021,5
23,23,Afghanistan,Kabul,34.28,69.11,2021,12,0,12/1/2021,5
24,24,Afghanistan,Kabul,34.28,69.11,2022,1,0,1/1/2022,5
25,25,Afghanistan,Kabul,34.28,69.11,2022,2,0,2/1/2022,5
26,26,Afghanistan,Kabul,34.28,69.11,2022,3,0,3/1/2022,5
27,27,Afghanistan,Kabul,34.28,69.11,2022,4,0,4/1/2022,5
28,28,Afghanistan,Kabul,34.28,69.11,2022,5,0,5/1/2022,5
29,29,Afghanistan,Kabul,34.28,69.11,2022,6,0,6/1/2022,5
30,30,Afghanistan,Kabul,34.28,69.11,2022,7,0,7/1/2022,5
31,31,Afghanistan,Kabul,34.28,69.11,2022,8,0,8/1/2022,5
32,32,Afghanistan,Kabul,34.28,69.11,2022,9,0,9/1/2022,5
33,33,Afghanistan,Kabul,34.28,69.11,2022,10,0,10/1/2022,5
34,34,Afghanistan,Kabul,34.28,69.11,2022,11,0,11/1/2022,5
35,35,Afghanistan,Kabul,34.28,69.11,2022,12,0,12/1/2022,5
36,36,Afghanistan,Kabul,34.28,69.11,2023,1,0,1/1/2023,4
37,37,Afghanistan,Kabul,34.28,69.11,2023,2,0,2/1/2023,4
38,38,Afghanistan,Kabul,34.28,69.11,2023,3,0,3/1/2023,3
39,39,Afghanistan,Kabul,34.28,69.11,2023,4,0,4/1/2023,3
40,40,Afghanistan,Kabul,34.28,69.11,2023,5,0,5/1/2023,3
41,41,Afghanistan,Kabul,34.28,69.11,2023,6,0,6/1/2023,3
42,42,Afghanistan,Kabul,34.28,69.11,2023,7,0,7/1/2023,3
43,43,Afghanistan,Kabul,34.28,69.11,2023,8,0,8/1/2023,4
44,44,Afghanistan,Kabul,34.28,69.11,2023,9,0,9/1/2023,3
45,45,Afghanistan,Kabul,34.28,69.11,2023,10,0,10/1/2023,4
46,46,Afghanistan,Kabul,34.28,69.11,2023,11,0,11/1/2023,3
47,47,Afghanistan,Kabul,34.28,69.11,2023,12,0,12/1/2023,3
48,48,Albania,Tirane,41.18,19.49,2020,1,0,1/1/2024,5
49,49,Albania,Tirane,41.18,19.49,2020,2,0,2/1/2024,5
50,50,Albania,Tirane,41.18,19.49,2020,3,0,3/1/2024,5
51,51,Albania,Tirane,41.18,19.49,2020,4,0,4/1/2020,5
52,52,Albania,Tirane,41.18,19.49,2020,5,0,5/1/2020,5
53,53,Albania,Tirane,41.18,19.49,2020,6,0,6/1/2020,5
54,54,Albania,Tirane,41.18,19.49,2020,7,0,7/1/2020,5
55,55,Albania,Tirane,41.18,19.49,2020,8,0,8/1/2020,5
56,56,Albania,Tirane,41.18,19.49,2020,9,0,9/1/2020,5
57,57,Albania,Tirane,41.18,19.49,2020,10,0,10/1/2020,5
58,58,Albania,Tirane,41.18,19.49,2020,11,0,11/1/2020,6
59,59,Albania,Tirane,41.18,19.49,2020,12,0,12/1/2020,6
60,60,Albania,Tirane,41.18,19.49,2021,1,0,1/1/2021,6
61,61,Albania,Tirane,41.18,19.49,2021,2,0,2/1/2021,6
62,62,Albania,Tirane,41.18,19.49,2021,3,0,3/1/2021,6
63,63,Albania,Tirane,41.18,19.49,2021,4,0,4/1/2021,5
64,64,Albania,Tirane,41.18,19.49,2021,5,0,5/1/2021,5
65,65,Albania,Tirane,41.18,19.49,2021,6,0,6/1/2021,5
66,66,Albania,Tirane,41.18,19.49,2021,7,0,7/1/2021,5
67,67,Albania,Tirane,41.18,19.49,2021,8,0,8/1/2021,6
68,68,Albania,Tirane,41.18,19.49,2021,9,0,9/1/2021,6
69,69,Albania,Tirane,41.18,19.49,2021,10,0,10/1/2021,6
70,70,Albania,Tirane,41.18,19.49,2021,11,0,11/1/2021,6
71,71,Albania,Tirane,41.18,19.49,2021,12,0,12/1/2021,6
72,72,Albania,Tirane,41.18,19.49,2022,1,0,1/1/2022,6
73,73,Albania,Tirane,41.18,19.49,2022,2,0,2/1/2022,5
74,74,Albania,Tirane,41.18,19.49,2022,3,0,3/1/2022,5
75,75,Albania,Tirane,41.18,19.49,2022,4,0,4/1/2022,5
76,76,Albania,Tirane,41.18,19.49,2022,5,0,5/1/2022,5
77,77,Albania,Tirane,41.18,19.49,2022,6,0,6/1/2022,5
78,78,Albania,Tirane,41.18,19.49,2022,7,0,7/1/2022,6
79,79,Albania,Tirane,41.18,19.49,2022,8,0,8/1/2022,6
80,80,Albania,Tirane,41.18,19.49,2022,9,0,9/1/2022,5
